task,model,mae,rmse,r2,threshold,accuracy,invalid_precision,invalid_recall,invalid_f1,confusion_matrix_valid_invalid
regression,ExtraTreesRegressor,0.9705051844749999,2.3535287090661847,0.9515235917519552,,,,,,
regression,RandomForestRegressor,1.0193359836369764,2.305032029013023,0.953500812708094,,,,,,
classification,ExtraTreesClassifier,,,,0.3312757421417837,0.989,0.9624060150375939,0.9552238805970149,0.9588014981273408,"[[861, 5], [6, 128]]"
classification,RandomForestClassifier,,,,0.41012361199808883,0.965,0.9304347826086956,0.7985074626865671,0.8594377510040161,"[[858, 8], [27, 107]]"
